"Time","S1","S2","S3"
0,0.465825456268921,0,0.534174543731079
0.1,0.460309657144844,0,0.507136063990447
0.2,0.455441298077139,0,0.483375963323534
0.3,0.451133338323331,0,0.462339685821918
0.4,0.447313865859708,0,0.443591622450472
0.5,0.443922864475821,0,0.426785131748337
0.6,0.440909486840953,0,0.411638776188756
0.7,0.438230537230675,0,0.397923290754583
0.8,0.435848987439857,0,0.385449700968158
0.9,0.433732822350093,0,0.374060386337925
1,0.431854283891472,0,0.363623480120905
1.1,0.430189133031208,0,0.354027607898044
1.2,0.428716084655334,0,0.345177986328722
1.3,0.427416369932402,0,0.336993497147616
1.4,0.426273365027554,0,0.329404306953666
1.5,0.425272287843012,0,0.322349974938124
1.6,0.424399945984665,0,0.315777927943982
1.7,0.423644525937484,0,0.309642222383051
1.8,0.422995416018788,0,0.303902533065649
1.9,0.422443056697587,0,0.298523321414049
2,0.421978813416619,0,0.293473147106074
2.1,0.421594867994133,0,0.288724095107638
2.2,0.421284125451617,0,0.284251296144189
2.3,0.421040133720662,0,0.280032523313653
2.4,0.420857014154928,0,0.276047851104112
2.5,0.42072940115053,0,0.272279365840493
2.6,0.420652389479077,0,0.268710918735909
2.7,0.420621488179407,0,0.265327914411816
2.8,0.420632580049414,0,0.262117129084705
2.9,0.420681885938065,0,0.259066553676795
3,0.420765933167265,0,0.256165257955049
3.1,0.420881527519462,0,0.253403272483325
3.2,0.421025728314529,0,0.250771485722167
3.3,0.421195826171864,0,0.248261554056916
3.4,0.421389323113976,0,0.245865822898721
3.5,0.421603914718001,0,0.243577257301174
3.6,0.421837474063777,0,0.241389380780629
3.7,0.422088037262419,0,0.239296221230932
3.8,0.422353790379227,0,0.237292262991439
3.9,0.422633057589995,0,0.235372404267219
4,0.422924290431231,0,0.233531919217318
4.1,0.423226058023058,0,0.231766424125111
4.2,0.423537038159148,0,0.230071847147345
4.3,0.423856009171394,0,0.228444401208167
4.4,0.424181842488472,0,0.226880559663508
4.5,0.424513495817338,0,0.225377034411293
4.6,0.424850006885197,0,0.223930756165734
4.7,0.42519048768684,0,0.222538856650385
4.8,0.425534119188668,0,0.221198652495977
4.9,0.425880146446218,0,0.219907630655839
5,0.426227874096895,0,0.218663435174881
5.1,0.426576662193788,0,0.217463855168036
5.2,0.426925922350171,0,0.216306813881337
5.3,0.427275114167491,0,0.215190358723784
5.4,0.427623741922525,0,0.214112652171155
5.5,0.427971351491852,0,0.213071963454252
5.6,0.428317527494004,0,0.212066660953974
5.7,0.428661890631606,0,0.21109520523425
5.8,0.429004095217539,0,0.210156142651447
5.9,0.429343826870674,0,0.209248099485525
6,0.4296808003681,0,0.208369776544081
6.1,0.430014757641955,0,0.207519944195544
6.2,0.430345465910066,0,0.206697437792384
6.3,0.430672715930545,0,0.205901153449196
6.4,0.430996320371356,0,0.205130044144089
6.5,0.431316112286648,0,0.204383116114987
6.6,0.431631943692318,0,0.20365942552525
6.7,0.431943684233911,0,0.202958075375533
6.8,0.432251219940511,0,0.202278212641017
6.9,0.432554452058799,0,0.201619025615169
7,0.432853295961881,0,0.200979741442914
7.1,0.433147680127947,0,0.200359623827763
7.2,0.433437545184156,0,0.199757970898801
7.3,0.433722843011512,0,0.199174113224776
7.4,0.434003535906793,0,0.198607411963635
7.5,0.434279595797891,0,0.198057257136934
7.6,0.434551003509159,0,0.197523066019447
7.7,0.434817748073629,0,0.197004281635153
7.8,0.435079826089158,0,0.196500371351549
7.9,0.435337241115762,0,0.19601082556491
8,0.435590003111606,0,0.195535156469757
8.1,0.435838127905237,0,0.195072896906331
8.2,0.436081636701872,0,0.194623599280412
8.3,0.436320555621631,0,0.19418683455027
8.4,0.436554915267775,0,0.193762191275956
8.5,0.436784750323132,0,0.193349274726536
8.6,0.437010099172997,0,0.192947706041205
8.7,0.437231003552898,0,0.19255712144056
8.8,0.43744750821973,0,0.192177171484573
8.9,0.437659660644847,0,0.1918075203741
9,0.437867510727774,0,0.191447845292979
9.1,0.43807111052931,0,0.191097835788018
9.2,0.438270514022841,0,0.190757193184352
9.3,0.438465776862757,0,0.190425630033855
9.4,0.43865695616895,0,0.190102869594451
9.5,0.438844110326414,0,0.189788645338341
9.6,0.43902729879902,0,0.18948270048728
9.7,0.439206581956621,0,0.189184787573208
9.8,0.439382020914656,0,0.188894668022623
9.9,0.439553677385504,0,0.188612111763231
10,0.439721613540855,0,0.188336896851479
10.1,0.439885891884426,0,0.188068809119709
10.2,0.440046575134383,0,0.187807641841722
10.3,0.440203726114861,0,0.187553195415648
10.4,0.440357407656021,0,0.187305277063094
10.5,0.440507682502111,0,0.187063700543581
10.6,0.440654613227014,0,0.186828285883398
10.7,0.440798262156831,0,0.186598859118002
10.8,0.440938691299034,0,0.186375252047198
10.9,0.441075962277772,0,0.186157302002357
11,0.441210136274945,0,0.185944851624977
11.1,0.441341273976653,0,0.185737748655958
11.2,0.44146943552469,0,0.185535845734973
11.3,0.44159468047274,0,0.185339000209382
11.4,0.441717067746958,0,0.18514707395216
11.5,0.441836655610659,0,0.184959933188333
11.6,0.441953501632833,0,0.184777448329467
11.7,0.44206766266021,0,0.184599493815774
11.8,0.442179194792662,0,0.184425947965415
11.9,0.442288153361685,0,0.18425669283063
12,0.442394592911757,0,0.184091614060319
12.1,0.442498567184371,0,0.183930600768744
12.2,0.442600129104545,0,0.183773545410029
12.3,0.442699330769632,0,0.183620343658159
12.4,0.442796223440271,0,0.183470894292189
12.5,0.442890857533303,0,0.183325099086405
12.6,0.44298328261652,0,0.183182862705178
12.7,0.443073547405096,0,0.183044092602282
12.8,0.44316169975958,0,0.182908698924447
12.9,0.44324778668532,0,0.182776594418935
13,0.443331854333202,0,0.182647694344951
13.1,0.443413948001607,0,0.182521916388687
13.2,0.443494112139477,0,0.182399180581835
13.3,0.44357239035039,0,0.182279409223391
13.4,0.443648825397571,0,0.182162526804605
13.5,0.443723459209743,0,0.182048459936911
13.6,0.443796332887748,0,0.181937137282709
13.7,0.44386748671186,0,0.181828489488863
13.8,0.443936960149731,0,0.181722449122785
13.9,0.444004791864894,0,0.181618950610981
14,0.44407101972578,0,0.181517930179967
14.1,0.444135680815181,0,0.181419325799412
14.2,0.444198811440116,0,0.181323077127447
14.3,0.444260447142045,0,0.181229125458004
14.4,0.444320622707401,0,0.181137413670132
14.5,0.444379372178377,0,0.181047886179165
14.6,0.444436728863951,0,0.180960488889693
14.7,0.444492725351101,0,0.180875169150238
14.8,0.444547393516182,0,0.180791875709563
14.9,0.444600764536433,0,0.180710558674554
15,0.444652868901587,0,0.180631169469595
15.1,0.444703736425614,0,0.180553660797212
15.2,0.444753396258464,0,0.180477986600205
15.3,0.44480187689753,0,0.180404102026172
15.4,0.444849206199725,0,0.180331963391278
15.5,0.444895411393245,0,0.180261528146243
15.6,0.444940519089262,0,0.180192754843659
15.7,0.444984555293622,0,0.180125603106249
15.8,0.445027545418485,0,0.18006003359619
15.9,0.4450695142939,0,0.17999600798546
16,0.4451104861793,0,0.179933488927162
16.1,0.445150484774898,0,0.179872440027806
16.2,0.44518953323299,0,0.179812825820489
16.3,0.445227654169139,0,0.179754611738953
16.4,0.445264869673244,0,0.179697764092482
16.5,0.445301201320482,0,0.179642250041606
