"time","x1","x2"
0,0.2,0.1
0.25,0.236122762639908,0.116951512871
0.5,0.274810731241185,0.136239256604924
0.75,0.314929535285478,0.158010468177175
1,0.355054968331887,0.182369565701317
1.25,0.393598277144197,0.209364513276871
1.5,0.428976426393873,0.238974240297636
1.75,0.459783391045182,0.271097742977847
2,0.484937066119889,0.305546854746237
2.25,0.503761675316582,0.342044285750926
2.5,0.51600619386362,0.380227700503636
2.75,0.521807828296709,0.41966043356649
3,0.521615820345239,0.459848974865542
3.25,0.516098763867069,0.500266119419783
3.5,0.506053832730372,0.540377581658994
3.75,0.492328849025136,0.579669182309347
4,0.475759767130372,0.617672138866909
4.25,0.457127001658161,0.653983557751947
4.5,0.4371276585771,0.688280427549839
4.75,0.41636108313022,0.720326425469174
5,0.395324620874342,0.749971842881854
5.25,0.374416692000552,0.777147760604185
5.5,0.353944802773274,0.801856026515859
5.75,0.334136172011528,0.824156889315939
6,0.315149711939008,0.844155715967155
6.25,0.297087967931251,0.861990146138134
6.5,0.280008354917508,0.877818503947119
6.75,0.263933207876997,0.891809968307162
7,0.248858430618079,0.904136680902148
7.25,0.234760710828264,0.914967746848857
7.5,0.221603369904308,0.924464943881728
7.75,0.209340988351569,0.932779881977173
8,0.197922975329909,0.940052334267936
8.25,0.187296256837666,0.946409470986299
8.5,0.177407245209341,0.951965760948578
8.75,0.168203245749843,0.956823332842636
9,0.159633402689454,0.961072661937435
9.25,0.151649339427059,0.964793406581708
9.5,0.144205514125616,0.968055368518981
9.75,0.137259398652374,0.970919470820229
10,0.13077152954969,0.973438709947828
10.25,0.124705463406187,0.975659066704634
10.5,0.119027669651782,0.977620351486807
10.75,0.113707383635953,0.97935697596803
11,0.108716436776506,0.980898648790076
11.25,0.10402907491531,0.982270997764415
11.5,0.0996217782475125,0.9834961083975
11.75,0.09547307272745,0.984593027869587
12,0.0915633645622101,0.985578165403868
12.25,0.0878747773420085,0.986465654656665
12.5,0.0843909926066407,0.987267690605115
12.75,0.081097109626014,0.98799479496409
13,0.0779795148239078,0.988656051339671
13.25,0.07502576222602,0.989259309761701
13.5,0.0722244642957759,0.989811361204584
13.75,0.0695651927948336,0.990318087555072
14,0.0670383889422345,0.990784590202052
14.25,0.0646352821405736,0.991215300146622
14.5,0.0623478165634153,0.991614072288201
14.75,0.0601685849072396,0.991984266126912
15,0.0580907686476209,0.992328814828016
15.25,0.056108084181547,0.992650284328804
15.5,0.0542147342827697,0.99295092393052
15.75,0.0524053643436758,0.993232709613676
16,0.0506750229230385,0.993497381137729
16.25,0.0490191262814203,0.993746473734188
16.5,0.0474334257102293,0.993981345836083
16.75,0.0459139805272479,0.994203200888817
17,0.0444571281541633,0.994413110489011
17.25,0.0430594631645496,0.994612029165304
17.5,0.0417178160409687,0.994800809166229
17.75,0.0404292327272224,0.99498021444249
18,0.0391909575806777,0.995150930987825
18.25,0.0380004167069539,0.995313576805919
18.5,0.0368552041433531,0.995468709785307
18.75,0.0357530688280333,0.995616834712638
19,0.0346919020336156,0.995758409830785
19.25,0.0336697266571943,0.995893852033873
19.5,0.0326846872913706,0.996023541503438
19.75,0.0317350411375608,0.996147825787414
20,0.0308191497041668,0.996267023338924
20.25,0.0299354712397169,0.996381426603682
20.5,0.02908255365955,0.996491304780385
20.75,0.0282590286100408,0.996596906040425
21,0.0274636048076941,0.996698459929954
21.25,0.0266950632705533,0.996796178967916
21.5,0.0259522524266433,0.996890260265771
21.75,0.0252340833600119,0.996980887077191
22,0.0245395256812493,0.997068230031587
22.25,0.0238676036801531,0.997152448269041
22.5,0.023217392770143,0.997233690455026
22.75,0.0225880162041658,0.997312095678372
23,0.0219786420385606,0.997387794258682
23.25,0.0213884803236505,0.997460908468802
23.5,0.0208167805017741,0.997531553183449
23.75,0.020262828995337,0.997599836463381
24,0.0197259469690392,0.997665860082106
24.25,0.019205488251933,0.997729720001962
24.5,0.0187008374062721,0.997791506805295
24.75,0.0182114079312976,0.997851306085723
25,0.0177366405911742,0.997909198803892
